"","ID","SMILES"
"492","Prestw-81","c1(n(c(nc1)C)CCO)[N+]([O-])=O"
"503","Prestw-1424","[C@]12([C@](CC[C@]3([C@]1([C@@H](Cc1c3ccc(c1)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F)[H])[H])([C@H](CC2)O)C)[H]"
"513","Prestw-83","[N+](c1cc(O)ccc1)(CC)(C)C"
"521","Prestw-84","C(NC(=N)N)(N1CCOCC1)=N"
"526","Prestw-85","C(CC(c1ccc(cc1)Cl)CN)(=O)O"
"537","Prestw-86","c1/2c(ncn1COCCO)C(N/C(=N2)/N)=O"
"544","Prestw-87","S1(N/C(=N\c2c1cc(cc2)Cl)/C)(=O)=O"
"547","Prestw-88","C1(\C(=C(/N(N1c1ccccc1)C)\C)\N(C)C)=O"
"554","Prestw-1179","S(=O)(=O)(OCCCCOS(=O)(=O)C)C"
"561","Prestw-90","c12c([nH]cc1)cccc2OCC(CNC(C)C)O"
"572","Prestw-91","c12c(c(c3c(c1OC)cco3)OC)O\C(=C/C2=O)\C"
"576","Prestw-92","C(=C\CN(C)C)(\c1ccc(cc1)Br)/c1cnccc1"
"578","Prestw-93","C(c1ccccc1)(c1ccccc1)(C1CCNCC1)O"
"579","Prestw-94","c1(c(Sc2c3c([nH]cn3)ncn2)n(cn1)C)[N+]([O-])=O"
"588","Prestw-95","[C@]12([C@]([C@]3([C@@]([C@@]4(\C(\CC3)=C/CCC4)[H])(CC1)[H])[H])(CC[C@]2(C#C)O)[H])C"
"592","Prestw-96","c1(c(Cl)cccc1Cl)/C=N/NC(=N)N"
"597","Prestw-97","C(SSC(=S)N(CC)CC)(=S)N(CC)CC"
"607","Prestw-98","C(c1c(OC(=O)C)cccc1)(Oc1c(C(=O)O)cccc1)=O"
"611","Prestw-99","N12C(c3c(Cc4c1cccc4)cccc3)CN(CC2)C"
"616","Prestw-100","c1(nc2c([nH]1)ccc(C(c1sccc1)=O)c2)NC(=O)OC"
"618","Prestw-101","[C@@]12(c3c(c4c(C1)ccc(c4O)O)cccc3CCN2C)[H].[C@@]12(c3c(c4c(C1)ccc(c4O)O)cccc3CCN2C)[H]"
"624","Prestw-102","C\1(=N\c2c(Oc3c1cc(cc3)Cl)cccc2)/N1CCNCC1"
"632","Prestw-103","C\1(/c2c(\C=C/c3c1cccc3)cccc2)=C\1/CCN(CC1)C"
"646","Prestw-104","S(NC(=N)CCSCc1nc(\N=C(/N)\N)sc1)(=O)(=O)N"
