"","V1","V2"
"168","ClC(=O)c1ccc(cc1)[N+](=O)[O-]","112208"
"169","ClC(=O)c1ccc(cc1)OC(=O)C","740470"
"170","ClC(=O)c1ccc(cc1)OCCCC","222046"
"171","ClC(=O)c1ccc(cc1)OCC","288829"
"172","ClC(=O)c1ccc(cc1)OCc1ccccc1","682861"
"173","ClC(=O)c1ccc(cc1)OC","A88476"
"174","ClC(=O)c1ccccc1","15215"
"175","ClC(=O)c1ccncc1.Cl","228753"
"176","ClC(=O)c1cc2c(cc1)cccc2","250260"
"177","ClC(=O)c1cc2c(cc1)C(=O)OC2=O","T68020"
"178","ClC(=O)c1cc2c(cc1)OCO2","378895"
"179","ClC(=O)c1cnccc1.Cl","213381"
"180","ClC(=O)c1cocc1","715689"
"181","ClC(=O)c1c2c(ccc1)cccc2","250252"
"182","ClC(=O)c1c2c(ccc1)C(=O)c1c2cccc1","249580"
"183","ClC(=O)c1nc(ccc1)C(=O)Cl","142875"
"184","ClC(=O)c1nc2c(cc1)cccc2","525928"
"185","ClC(=O)c1nc2c(nc1)cccc2","145998"
"186","ClC(=O)c1oc(cc1)C","678570"
"187","ClC(=O)c1oc(cc1)[N+](=O)[O-]","683752"
"188","ClC(=O)c1occc1C","678589"
"189","ClC(=O)c1occc1","149861"
"190","ClC(=O)c1oc2c(c1C)cccc2","541540"
"191","ClC(=O)c1oc2c(c1)cccc2","715697"
"192","ClC(=O)c1oncc1","636231"
"193","ClC(=O)c1nc2c(cc(c(c2)OC)OC)n(c1=O)C","89276"
"194","ClC(=O)C1CC1","C116807"
"195","ClC(=O)C1CCC1","C95706"
"196","ClC(=O)C1CCCC1","328316"
"197","ClC(=O)C1CCCCC1","156965"
"198","ClC(=O)[C@H](OC=O)c1ccccc1","479284"
"199","ClC(=O)[C@@H](C)c1cc2c(cc(cc2)OC)cc1","712922"
"200","ClC(=O)[C@@H](OC(=O)C)C","447056"
"201","ClC(c1ccccc1)(c1ccccc1)C(=O)Cl","C39288"
"202","ClC(Cl)(Cl)C(=O)Cl","151599"
"203","ClC(CCl)C(=O)Cl","250139"
"204","ClC(C)C(=O)Cl","157139"
"205","ClC(c1ccccc1)C(=O)Cl","130966"
"206","ClC(Cl)C(=O)Cl","D55008"
"207","ClCC(=O)Cl","104493"
"208","ClCC(C)(C)C(=O)Cl","225703"
"209","ClCCC(=O)Cl","147443"
"210","ClCCCC(=O)Cl","343935"
"211","ClCCCCC(=O)Cl","125245"
"212","ClCCCCCC(=O)Cl","549940"
"213","ClCc1c(cccc1)C(=O)Cl","725897"
"214","ClCc1cc(ccc1)C(=O)Cl","263664"
"215","ClCc1ccc(cc1)C(=O)Cl","270784"
"216","Clc1c(c(cc(c1)Cl)Cl)C(=O)Cl","345504"
"217","Clc1c(c(ccc1)Cl)C(=O)Cl","187518"
"218","Clc1c(cc(cc1)C(=O)Cl)[N+](=O)[O-]","407925"
"219","Clc1c(ccc(c1)C(=O)Cl)Cl","111945"
"220","Clc1c(ccc(c1)Cl)C(=O)Cl","111937"
"221","Clc1c(cccc1)C(=O)Cl","103918"
"222","Clc1c(cccc1)/C=C/C(=O)Cl","537209"
"223","Clc1cc(c(cc1)C(=O)Cl)OC","PH016231"
"224","Clc1cc(cc(c1)C(=O)Cl)Cl","296287"
"225","Clc1cc(ccc1)C(=O)Cl","C26801"
"226","Clc1ccc(cc1)C(=O)Cl","111902"
"227","Clc1ccc(cc1)C(C(C)C)C(=O)Cl","537225"
"228","Clc1ccc(cc1)CC(=O)Cl","638951"
"229","Clc1ccc(cc1)OCC(=O)Cl","193941"
"230","Clc1nc(c(cn1)C(=O)Cl)Cl","728772"
"231","Clc1nc(cc(c1)C(=O)Cl)C","681075"
"232","Clc1nc(cc(c1)C(=O)Cl)Cl","708712"
"233","Clc1nc(ccc1C(=O)Cl)Cl","699276"
"234","Clc1ncc(cc1)C(=O)Cl","528102"
"235","Clc1nccc(c1C(=O)Cl)Cl","738204"
"236","Clc1nccc(c1Cl)C(=O)Cl","738212"
"237","Clc1nccc(c1)C(=O)Cl","707309"
"238","Clc1ncccc1C(=O)Cl","458821"
"239","FC(F)(F)C(=O)c1ccc(cc1)C(=O)Cl","728616"
"240","FC(F)(F)C(=O)Cl","300004"
"241","FC(F)(F)C(=O)N1[C@@H](CCC1)C(=O)Cl","248509"
"242","FC(F)(F)C(F)(F)C(F)(F)C(=O)Cl","257923"
"243","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Cl","67162"
"244","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Cl","290904"
"245","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Cl","52846"
"246","FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(=O)Cl","71941"
"247","FC(F)(F)C(OC)(c1ccccc1)C(=O)Cl","667773"
"248","FC(F)(F)c1c(c(ccc1)C(=O)Cl)F","455342"
"249","FC(F)(F)c1c(c(ccc1)F)C(=O)Cl","455369"
"250","FC(F)(F)c1c(cc(cc1)C(=O)Cl)F","455377"
"251","FC(F)(F)c1c(cc(cc1)C(F)(F)F)C(=O)Cl","333042"
"252","FC(F)(F)c1c(cc(cc1)F)C(=O)Cl","455407"
"253","FC(F)(F)c1c(ccc(c1)C(=O)Cl)F","455296"
"254","FC(F)(F)c1c(ccc(c1)C(=O)Cl)OC","PH016269"
"255","FC(F)(F)c1c(ccc(c1)F)C(=O)Cl","455393"
"256","FC(F)(F)c1c(cccc1)C(=O)Cl","249483"
"257","FC(F)(F)c1cc(c(cc1)C(=O)Cl)F","455288"
"258","FC(F)(F)c1cc(c(cc1)F)C(=O)Cl","455350"
"259","FC(F)(F)c1cc(cc(c1)C(=O)Cl)C(F)(F)F","265284"
"260","FC(F)(F)c1cc(cc(c1)C(=O)Cl)F","455385"
"261","FC(F)(F)c1cc(ccc1)C(=O)Cl","250279"
"262","FC(F)(F)c1cc(ccc1)/C=C/C(=O)Cl","368482"
"263","FC(F)(F)c1ccc(cc1)C(=O)Cl","249475"
"264","FC(F)(F)c1cnc(c(c1)C(=O)Cl)Cl","734942"
"265","FC(F)(F)c1cnc(cc1)C(=O)Cl","753262"
"266","FC(F)(F)c1nc(ccc1)C(=O)Cl","753270"
"267","FC(F)(F)c1ncc(cc1)C(=O)Cl","640069"
"268","FC(F)(F)[C@](OC)(c1ccccc1)C(=O)Cl","423394"
"269","FC(F)(F)[C@@](OC)(c1ccccc1)C(=O)Cl","369675"
"270","FC(F)(F)Oc1c(cccc1)C(=O)Cl","724556"
"271","FC(F)(F)Oc1cc(ccc1)C(=O)Cl","738948"
"272","FC(F)(F)Oc1ccc(cc1)C(=O)Cl","402486"
"273","FC(F)(F)Sc1ccc(cc1)C(=O)Cl","555479"
"274","Fc1c(c(c(c(c1F)F)C(=O)Cl)F)F","103772"
"275","Fc1c(c(cc(c1F)C(=O)Cl)F)F","339563"
"276","Fc1c(c(ccc1F)C(=O)Cl)F","336475"
"277","Fc1c(c(ccc1)F)C(=O)Cl","249408"
"278","Fc1c(cc(c(c1OC)F)C(=O)Cl)F","546690"
"279","Fc1c(cc(c(c1)F)C(=O)Cl)F","404357"
"280","Fc1c(cc(cc1F)C(=O)Cl)F","559474"
"281","Fc1c(cc(cc1)C(=O)Cl)C","595004"
"282","Fc1c(cc(cc1)Cl)C(=O)Cl","535974"
"283","Fc1c(cc(cc1)F)C(=O)Cl","259365"
"284","Fc1c(ccc(c1C(=O)Cl)F)C","648698"
"285","Fc1c(ccc(c1C(=O)Cl)F)F","333123"
"286","Fc1c(ccc(c1)C(=O)Cl)F","290246"
"287","Fc1c(ccc(c1)F)C(=O)Cl","265292"
"288","Fc1c(cccc1C(=O)Cl)Cl","539554"
"289","Fc1c(cccc1C(=O)Cl)F","333069"
"290","Fc1c(cccc1)C(=O)Cl","120847"
"291","Fc1cc(c(cc1)C(=O)Cl)Cl","703958"
"292","Fc1cc(c(cc1)C)C(=O)Cl","654779"
"293","Fc1cc(cc(c1)C(=O)Cl)F","290254"
"294","Fc1cc(ccc1)C(=O)Cl","162531"
"295","Fc1ccc(cc1)C(=O)Cl","119946"
"296","Fc1ccc(cc1)CC(=O)Cl","466956"
"297","Fc1ccc(cc1)/C=C/C(=O)Cl","645591"
"298","Fc1cc2sc(c(c2cc1)Cl)C(=O)Cl","646822"
"299","FS(=O)(=O)c1ccc(cc1)C(=O)Cl","136387"
"300","Ic1c(c(ccc1)F)C(=O)Cl","552445"
"301","Ic1c(cccc1)C(=O)Cl","252115"
"302","Ic1cc(c(cc1)F)C(=O)Cl","552461"
"303","Ic1ccc(cc1)C(=O)Cl","252123"
"304","S(=O)(=O)(Cl)CC(=O)Cl","259772"
"305","S(CC(=O)Cl)c1ccccc1","439401"
"306","S(C)c1ccc(cc1)C(=O)Cl","634824"
"307","S(C)c1nc(c(c(n1)Cl)C(=O)Cl)Cl","755427"
"308","s1c(c(cc1)C)C(=O)Cl","654809"
"309","s1c(cc(c1)C)C(=O)Cl","652040"
"310","s1c(ccc1C(=O)Cl)C(=O)Cl","662941"
"311","s1c(ccc1)C(=O)Cl","288985"
"312","s1c(ccc1)CC(=O)Cl","195995"
"313","s1c(ncc1)C(=O)Cl","775517"
"314","s1cc(cc1)C(=O)Cl","734454"
"315","s1c2c(c(c1C(=O)Cl)Cl)cccc2","593087"
"316","s1c2c(nc1C(=O)Cl)cccc2","708178"
"317","[SiH2]=O.ClC(=O)CC","538078"
"318","BrC(Br)(Br)C(=O)Cl","431656"
"319","BrC(CBr)C(=O)Cl","300373"
"320","BrC(CCBr)C(=O)Cl","34072"
"321","BrC(C)C(=O)Cl","145807"
"322","BrC(c1ccccc1)C(=O)Cl","690864"
"323","BrCC(=O)Cl","16120"
"324","BrCCC(=O)Cl","142514"
"325","BrCCCC(=O)Cl","251933"
"326","BrCCCCC(=O)Cl","331317"
"327","BrCCCCCC(=O)Cl","235555"
"328","Brc1c(cccc1)C(=O)Cl","B59179"
"329","Brc1c(cccc1)CC(=O)Cl","482323"
"330","Brc1cc(ccc1)C(=O)Cl","259314"
"331","Brc1cc(ccc1)CC(=O)Cl","740586"
"332","Brc1ccc(cc1)C(=O)Cl","B59209"
"333","Brc1ccc(cc1)CC(=O)Cl","740438"
"334","ClC(=O)C(=C)CC","589144"
"335","ClC(=O)C(=C)C","156310"
"336","ClC(=O)C(=O)c1c2c([nH]c1)cccc2","515205"
"337","ClC(=O)C(=O)Cl","221015"
"338","ClC(=O)C(=O)OCC(=C)Cl","740144"
"339","ClC(=O)C(=O)OCC","E43101"
"340","ClC(=O)C(=O)OCC=C","738875"
"341","ClC(=O)C(=O)OC","151440"
"342","ClC(=O)/C(=C/C)/C","688606"
"343","ClC(=O)C(CC)(CC)C(=O)Cl","235512"
"344","ClC(=O)C(C)(C)C(=O)Cl","391905"
"345","ClC(=O)C(C)(C)C","T72605"
"346","ClC(=O)C(OC(=O)C)(C)C","326178"
"347","ClC(=O)C(CCCC)CC","157406"
"348","ClC(=O)C(CC)CC","157430"
"349","ClC(=O)C(CC)C","476471"
"350","ClC(=O)C(CC)c1ccccc1","349666"
"351","ClC(=O)C(C)C","139122"
"352","ClC(=O)C(C)c1ccccc1","689548"
"353","ClC(=O)C(c1ccccc1)c1ccccc1","331589"
"354","ClC(=O)C(OC(=O)C)c1ccccc1","A17404"
"355","ClC(=O)CC(=C)C(=O)Cl","I29301"
"356","ClC(=O)CC(=O)Cl","M1601"
"357","ClC(=O)CC(=O)OCC","163872"
"358","ClC(=O)CC(=O)OC","164011"
"359","ClC(=O)CC(C)(C)C","B88802"
"360","ClC(=O)CC(CC(C)(C)C)C","422959"
"361","ClC(=O)CC(CCC(=O)Cl)C","235520"
"362","ClC(=O)CC(CC)C","PH016167"
"363","ClC(=O)CC(C)C","157422"
"364","ClC(=O)CCC(=O)Cl","S6452"
"365","ClC(=O)CCC(=O)OCC","190705"
"366","ClC(=O)CCC(=O)OC","C11049"
"367","ClC(=O)CCCC(=O)Cl","G4608"
"368","ClC(=O)CCCC(=O)OCC","49733"
"369","ClC(=O)CCCC(=O)OC","M35355"
"370","ClC(=O)CCCCC(=O)Cl","165212"
"371","ClC(=O)CCCCC(=O)OC","638560"
"372","ClC(=O)CCCCCC(=O)Cl","251313"
"373","ClC(=O)CCCCCCC(=O)Cl","235547"
"374","ClC(=O)CCCCCCC(=O)OC","385565"
"375","ClC(=O)CCCCCCCC(=O)Cl","299693"
"376","ClC(=O)CCCCCCCCC(=O)Cl","131784"
"377","ClC(=O)CCCCCCCCC(=O)OC","401730"
"378","ClC(=O)CCCCCCCCCCC(=O)Cl","306665"
"379","ClC(=O)CCCCCCCCCCCCCCCCCCCCC","11935"
"380","ClC(=O)CCCCCCCCCCCCCCCCCC","74200"
"381","ClC(=O)CCCCCCCCCCCCCCCCC","171158"
"382","ClC(=O)CCCCCCCCCCCCCCCC","306657"
"383","ClC(=O)CCCCCCCCCCCCCCC","P78"
"384","ClC(=O)CCCCCCCCCCCCCC","76555"
"385","ClC(=O)CCCCCCCCCCCCC","185205"
"386","ClC(=O)CCCCCCCCCCCC","91550"
"387","ClC(=O)CCCCCCCCCCC","156930"
"388","ClC(=O)CCCCCCCCCC","249432"
"389","ClC(=O)CCCCCCCCC/C=C\CCCCCC","V9876"
"390","ClC(=O)CCCCCCCCC","140295"
"391","ClC(=O)CCCCCCCCC=C","161667"
"392","ClC(=O)CCCCCCCC","156833"
"393","ClC(=O)CCCCCCC/C=C\CCCCCCCC","367850"
"394","ClC(=O)CCCCCCC/C=C\CCCCCC","P2635"
"395","ClC(=O)CCCCCCC/C=C\C/C=C\CCCCC","L5753"
"396","ClC(=O)CCCCCCC","O4733"
"397","ClC(=O)CCCCCC","147249"
"398","ClC(=O)CCCCC","156957"
"399","ClC(=O)CCCC","157147"
"400","ClC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","A2941"
"401","ClC(=O)CCC","109614"
"402","ClC(=O)CCC=C","468479"
"403","ClC(=O)CCc1ccccc1","249440"
"404","ClC(=O)CCC1CCCC1","268593"
"405","ClC(=O)CC","P51559"
"406","ClC(=O)Cc1c(ccc(c1)OC)OC","264806"
"407","ClC(=O)Cc1cc(c(cc1)OC)OC","237477"
