"","V1","V2"
"9766","Br.N1CCc2c(cc(c(c2)O)O)C1C","244201"
"9767","Br.N1[C@H]([C@@H](CCC1)OC)CC(=O)C","03968"
"9768","Brn1c(=O)n(c(=O)[nH]c1=O)Br","737135"
"9769","[CaH2].N(CCC(=O)O)C(=O)[C@H](O)C(CO)(C)C","P8736"
"9770","ClCC(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)O","C1753"
"9771","ClCC(OC)Oc1c(cccc1)OC(=O)NC","32588"
"9772","ClCCNC(=O)Nc1c(cccc1)C(=O)OC","427527"
"9773","Clc1c(c(cc(c1)C(O)CNC(CO)(C)C)Cl)N","32826"
"9774","Clc1c(c(cc(c1)C(O)CNC(C)C)Cl)N","32827"
"9775","Clc1c(c(cc(c1)Cl)Cl)OCCNCCC","34508"
"9776","Clc1c(c(cc(c1)N)Cl)NC1=NCCN1.Cl","A0779"
"9777","Clc1c(c(ccc1)Cl)CC(=O)NC(=N)N.Cl","PHR1751"
"9778","Clc1c(c(ccc1)Cl)/C=N/NC(=N)N.OC(=O)C","G110"
"9779","Clc1c(c(ccc1)Cl)NC(=N)NC(=N)N.Cl","572209"
"9780","Clc1c(c(ccc1)Cl)NC1=NCCN1.Cl","27545"
"9781","Clc1c(cc(c(c1)C(=O)NCCN(CC)CC)OC)N","32473"
"9782","Clc1c(cc(cc1)Cl)NC(=N)NC(=N)N.Cl","572276"
"9783","Clc1c(ccc(c1)C12C(CNC1)C2)Cl.Cl","D6446"
"9784","Clc1c(ccc(c1)Cl)C(=Cc1cnccc1)NOC","45737"
"9785","Clc1c(ccc(c1)Cl)NC(=N)NC(=N)N.Cl","637777"
"9786","Clc1c(ccc(c1)NC(=N)NC(=N)N)Cl.Cl","572268"
"9787","Clc1c(cccc1NC(=N)NC(=N)N)Cl.Cl","572241"
"9788","Clc1c(cccc1N1CCNCC1)Cl.Cl","679135"
"9789","Clc1c(cccc1)C(O)CNC(C)(C)C.Cl","53541"
"9790","Clc1c(cccc1)C[C@H](NC(=O)OC(C)(C)C)C(=O)O","15021"
"9791","Clc1c(cccc1)C[C@@H](NC(=O)OC(C)(C)C)C(=O)O","15018"
"9792","Clc1c(cccc1)[C@]1(CCCCC1=O)NC.Cl","K1884"
"9793","Clc1c(cccc1)C1(CCCCC1=O)NC.Cl","Y0000450"
"9794","Clc1cc(cc(c1)C(=O)NC(C)(C)C#C)Cl","45645"
"9795","Clc1cc(cc(c1)NC(=N)NC(=N)N)Cl.Cl","572284"
"9796","Clc1cc(ccc1)C(=O)C(NC(C)(C)C)C.Cl","PHR1730"
"9797","Clc1cc(ccc1)C(=O)NC1C2CCN(C1)CC2","419192"
"9798","Clc1cc(ccc1)C[C@@H](NC(=O)OC(C)(C)C)C(=O)O","672750"
"9799","Clc1cc(ccc1)[C@@]1(OCC(N[C@H]1C)(C)C)O.Cl","H3167"
"9800","Clc1ccc(cc1)C(=O)C(NC(C)(C)C)C.Cl","98849"
"9801","Clc1ccc(cc1)C(=O)NCCN1CCOCC1","M3071"
"9802","Clc1ccc(cc1)C(CCNC)c1ncccc1","HPA042438"
"9803","Clc1ccc(cc1)C(N1CCNCC1)c1ccccc1","C24507"
"9804","Clc1ccc(cc1)C[C@H](NC(=O)OC(C)(C)C)C(=O)O","15472"
"9805","Clc1ccc(cc1)C[C@@H](NC(=O)OC(C)(C)C)C(=O)O","15471"
"9806","Clc1ccc(cc1)CNC(=O)CCCCCN.Cl","A9527"
"9807","Clc1ccc(cc1)CN1CCNC(=O)C1CC(=O)O","PH016175"
"9808","Clc1ccc(cc1)[C@H](NC(=O)OC(C)(C)C)CC(=O)O","61902"
"9809","Clc1ccc(cc1)[C@@H](NC(=O)OC(C)(C)C)CC(=O)O","19343"
"9810","Clc1ccc(cc1)NC(=N)NC(=N)NC(C)C.Cl","PHR1713"
"9811","Clc1ccc(cc1)N1CCNCC1.Cl.Cl","C68008"
"9812","Clc1cc2c([nH]c(c2C2=CCNCC2)C)cc1.Cl","SML0139"
"9813","Clc1cc2nc(n(c2cc1)C1CCNCC1)O","552372"
"9814","Clc1c2c(c(c(c1Cl)Cl)Cl)C(=O)NC2=O","135550"
"9815","Clc1nc(c(nc1N(C(C)C)CC)N)C(=O)NC(=N)N","A3085"
"9816","Clc1nc(c(nc1N(CC(C)C)C)N)C(=O)NC(=N)N","A149"
"9817","Clc1nc(c(nc1N)N)C(=O)NC(=N)N.Cl.O","A7410"
"9818","Clc1nc(nc(c1NC1=NCCN1)OC)C.Cl","M1559"
"9819","Clc1ncc(cc1)CN(CC)/C(=C/[N+](=O)[O-])/NC","46077"
"9820","Clc1ncc(cc1)CN1CCN=C1N[N+](=O)[O-]","37894"
"9821","Clc1ncc(cc1)[C@@H]1C2NC(C1)CC2.Cl.Cl.O","E1145"
"9822","Clc1nnc(cc1)N1C[C@@H]2N[C@H](C1)CC2.Cl.Cl","D7938"
"9823","Clc1cn(c(=O)[nH]c1=O)[C@@H]1O[C@@H]([C@H](C1)O)CO","C6891"
"9824","Cl.Cl.Cl.Cl.N(CCNCCN)CCN","161969"
"9825","Cl.Cl.Cl.N(CCCN)CCCCN","233994"
"9826","Cl.Cl.N(CCCCNCC=C=C)CC=C=C","M2949"
"9827","Cl.Cl.N(CCCN)CCCCNC(=O)C","A3658"
"9828","Cl.Cl.N(Cc1cc(ccc1)CN)C(=C)N","W4262"
"9829","Cl.Cl.N([C@H](CO)CC)CCN[C@H](CO)CC","E1850000"
"9830","Cl.Cl.N[C@@H](CCCCNC(=C)N)C(=O)O","I8021"
"9831","Cl.Cl.N[C@@H](CCCNC(=N)N(C)C)C(=O)O","D4268"
"9832","Cl.Cl.N[C@@H](CCCNC(=N)N)C(=O)OC","11030"
"9833","Cl.Cl.N1(CCNCC1)c1ccc(cc1)OC","M23004"
"9834","Cl.Cl.[nH]1cncc1CCNC(=O)CCN","SML0329"
"9835","Cl.Cl.N1CCC(CC1)CCC1CCNCC1","214140"
"9836","Cl.Cl.N1[C@@H](CCC1)COc1c(nccc1)C","SML1487"
"9837","Cl.N(CCNC(=O)c1ccc(cc1)N)(CC)CC","81664"
"9838","Cl.N(C)(C)/C=N/c1cc(ccc1)OC(=O)NC","45514"
"9839","Cl.N(C(C)(C)C)CC(O)c1oc2c(c1)cccc2CC","UC168"
"9840","Cl.N(C(C(C)C)C(=O)O)C(=O)C(N)CCCCN","L6252"
"9841","Cl.N(C(CC(C)C)C(=O)N)C(=O)C(N)CC(C)C","L8015"
"9842","Cl.N(C(CCCCN)C(=O)O)C(=O)C(N)C","A2003"
"9843","Cl.N(C(CC)C(=O)c1cc2c(cc1)OCO2)CC","SML0705"
"9844","Cl.N(C(CC)C(=O)c1cc2c(cc1)OCO2)C","06525"
"9845","Cl.N(C(C)C(=O)Nc1c(cccc1)C)CCC","P2939060"
"9846","Cl.N(C(C)C)CC(O)COc1c(cccc1)CC=C","A0360000"
"9847","Cl.N(C(C)C)CC(O)COc1c2c(ccc1)cccc2","222984"
"9848","Cl.N(CC(O)c1c(ccc(c1)OC)OC)C(=O)CN","M8277"
"9849","Cl.N(CCCCCCN)C(=O)OC(C)(C)C","437018"
"9850","Cl.N(CCCCCCN)C(=O)OCc1ccccc1","96087"
"9851","Cl.N(CCCCCN)C(=O)OCc1ccccc1","96091"
"9852","Cl.N(CCCCN)C(=O)OCc1ccccc1","96081"
"9853","Cl.N(CCCC1c2c(cccc2)C=Cc2c1cccc2)C","P8813"
"9854","Cl.N(CCCN)C(=O)OC1CCCC=CCC1","790451"
"9855","Cl.N(CCC=C1c2c(cccc2)CCc2c1cccc2)C","N1280000"
"9856","Cl.N(CC[C@@H](Oc1c(cccc1)C)c1ccccc1)C","PHR1679"
"9857","Cl.N(CCNC(=O)OC(C)(C)C)CC(=O)OCC","15311"
"9858","Cl.N(C[C@H](O)COc1c2c(ccc1)cccc2)C(C)C","P8688"
"9859","Cl.N(C[C@H](O)c1cc(c(cc1)O)CO)C(C)(C)C","SML0138"
"9860","Cl.N(C[C@@H](O)COc1c2c(ccc1)cccc2)C(C)C","P0689"
"9861","Cl.N(C1(CCCC1)CN)C(=O)OCc1ccccc1","766763"
"9862","Cl.N([C@H](C)c1ccccc1)[C@H](C)c1ccccc1","461520"
"9863","Cl.N([C@@H](C)c1ccccc1)[C@@H](C)c1ccccc1","15145"
"9864","Cl.N([C@@H](C)c1c2c(ccc1)cccc2)Cc1ccccc1","13597"
"9865","Cl.N(NC(=O)C(N)CO)Cc1c(c(c(cc1)O)O)O","B0477000"
"9866","Cl.N(NC)Cc1ccc(cc1)C(=O)NC(C)C","SML0036"
"9867","Cl.N[C@@H](CCCCNC(=O)OC(C)(C)C)C(=O)OC","96629"
"9868","Cl.N[C@@H](CCCNC(=N)N)C(=O)NCCC(=O)O","A6786"
"9869","Cl.[N+](=O)(NC(=N)NCCCC(N)C(=O)OC)[O-]","A180"
"9870","Cl.[N+](=O)(NC(=N)NCCC[C@H](N)C(=O)OC)[O-]","N5751"
"9871","Cl.[N+](=O)([O-])c1cc(cc(c1)C(=O)NCCC)[N+](=O)[O-]","D6678"
"9872","Cl.N1(CCC(CC1)OCc1ccccc1)CCNC","SML1553"
"9873","Cl.N1(CCC2(OC(=O)NC2)CC1)CCc1ccccc1","F6145"
"9874","Cl.n1(n(c(=O)c(c1C)NC)c1ccccc1)C","92939"
"9875","Cl.n12c(ncc1C)c(nc1c2cc(cc1)C)NCCN","B9935"
"9876","Cl.n12c(c[nH]c(c1)c1ccc(cc1)OC)[nH]c(=C)c2=O","87787"
"9877","Cl.[nH]1cnc(c1)C[C@H](NC(=O)CN)C(=O)O.O","50280"
"9878","Cl.[nH]1c2c(c3c1C(=C)NCC3)ccc(c2)OC.O.O","H1392"
"9879","Cl.[nH]1c2c(c3c1C(=C)NCC3)ccc(c2)O.O.O","H125"
"9880","Cl.N1C(CCCC1)C(c1ccccc1)C(=O)OC","Y0001017"
"9881","Cl.N1CC(c2c(cc(c(c2)O)O)CC1)c1ccccc1","D047"
"9882","Cl.N1CC(OCC1)c1nc(no1)c1ccccc1","PH016270"
"9883","Cl.N1CCC(CC1)C(=O)OCc1ccccc1","PH016214"
"9884","Cl.N1CCc2nc(ncc2CC1)Cc1ccccc1","PZ0229"
"9885","Cl.N1CCN=C1C1(Oc2c(cccc2)C1)CC","E3263"
"9886","Cl.N1CCN=C1C1(Oc2c(cccc2)OC1)OC","R9525"
"9887","Cl.N1CCNC1=Cc1c(c(c(cc1C)C(C)(C)C)O)C","55591"
"9888","Cl.N1CCNC1=Cc1c(cc(cc1C)C(C)(C)C)C","07297"
"9889","Cl.N1CCNC1=COc1c(cccc1)C1CC1","C223"
"9890","Cl.N1C[C@H](c2c(cc(c(c2)O)O)CC1)c1ccccc1","S102"
"9891","Cl.N1C[C@@H](c2c(cc(c(c2)O)O)CC1)c1ccccc1","S101"
"9892","Cl.N1C[C@@H]([C@H](C1)c1cc(cc(c1)OC)OC)CO","PH016209"
"9893","Cl.N1[C@@H]2[C@@H]3[C@@](CC1)(CCCC3)c1c(ccc(c1)OC)C2","M187"
"9894","Cl.N1[C@@H]2[C@H](C[C@H]1C(=O)OCc1ccccc1)CCC2","570907"
"9895","Cl.N1C2C(CC1C(=O)OCc1ccccc1)CCC2","652547"
"9896","Cl.N1[C@H](C(=O)N(C1(C)C)C)Cc1ccccc1","569763"
"9897","Cl.N1[C@H](C(=O)N(C1(C)C)C)Cc1c2c([nH]c1)cccc2","744182"
"9898","Cl.N1[C@@H](C(=O)N(C1(C)C)C)Cc1ccccc1","663069"
"9899","Cl.N1[C@@H](C(=O)N(C1(C)C)C)Cc1c2c([nH]c1)cccc2","744298"
"9900","Cl.N1[C@@H](CCC1)C(=O)Nc1cc2c(cc1)cccc2","P1380"
"9901","Cl.N1[C@@H](CCCC1)[C@H](c1ccccc1)C(=O)OC","M6935"
"9902","Cl.N1[C@@H](Cc2c(cc(c(c2)OC)OC)C1)C(=O)O","543527"
"9903","Cl.N1[C@@H](C[C@H](C1)O)C(=O)OCc1ccccc1","43746"
"9904","FC([C@@H]1NCCC1)(c1ccccc1)c1ccccc1","552550"
"9905","FC([C@H]1NCCC1)(c1ccccc1)c1ccccc1","552569"
"9906","FC(F)(F)C(=O)c1c([nH]n(c1=O)c1ccccc1)C","68752"
"9907","FC(F)(F)C(=O)NC(Cc1ccccc1)C(=O)OC","T5006"
"9908","FC(F)(F)C(=O)N[C@@H](CCSC)C(=O)OC","T4011"
"9909","FC(F)(F)C(=O)O.N([C@H](c1ccccc1)C(=O)O)C=O","F3801"
"9910","FC(F)(F)C(=O)O.N1[C@H](N(C(=O)C1)C)C(C)(C)C","661910"
"9911","FC(F)(F)C(=O)O.N1[C@@H](N(C(=O)C1)C)C(C)(C)C","661902"
"9912","FC(F)(F)C(=O)[O-].[NH3+]NC(=O)CCN1C(=O)C=CC1=O","803529"
"9913","FC(F)(F)C(C[C@H](NC(=O)OC(C)(C)C)C(=O)O)C","602590"
"9914","FC(F)(F)c1c(ccc(c1)C1(CCNCC1)O)Cl","556823"
"9915","FC(F)(F)c1cc(ccc1)CC(NCC)C.Cl","F8507"
"9916","FC(F)(F)c1cc(ccc1)C[C@H](NCC)C.Cl","F113"
"9917","FC(F)(F)c1cc(ccc1)C[C@@H](NCC)C.Cl","F112"
"9918","FC(F)(F)c1cc(ccc1)/C=C/1\SC(=O)NC1=O","SML0323"
"9919","FC(F)(F)c1cc(ccc1)N1CCNCC1.Cl","T8948"
"9920","FC(F)(F)c1ccc(cc1)NC(=N)NC(=N)N.Cl","572187"
"9921","FC(F)(F)c1ccc(cc1)S(=O)(=O)NCCN","694967"
"9922","FC(F)(F)c1cn(c(=O)[nH]c1=O)[C@@H]1O[C@@H]([C@H](C1)O)CO","T2255"
"9923","FC(F)(F)Oc1ccc(cc1)NC(=N)NC(=N)N.Cl","566500"
"9924","FC(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F","464635"
"9925","FCC(=O)[C@@H](NC(=O)OC(C)(C)C)CC(=O)OC","B2682"
"9926","FC1(Oc2c(ccc(c2)/C=C/2\SC(=O)NC2=O)O1)F","A0231"
"9927","Fc1c(c(c(c(c1F)F)CONC(=C)C)F)F","44114"
"9928","Fc1c(c(c(c(c1F)F)CONC=CC)F)F","43508"
"9929","Fc1c(c(cc(c1)/C=c/1\[nH]c(=C)n(c1=O)C)F)O","SML1627"
"9930","Fc1c(cc(cc1)NC(=N)NC(=N)N)Cl.Cl","558400"
"9931","Fc1c(ccc(c1)Br)CN1CCNCC1","657719"
"9932","Fc1c(ccc(c1)F)CNCCN1CCOCC1","PH016180"
"9933","Fc1c(cccc1)C(=O)NCCc1c2c([nH]c1C)cccc2","SML0006"
"9934","Fc1c(cccc1)C[C@H](NC(=O)OC(C)(C)C)C(=O)O","15024"
"9935","Fc1c(cccc1)C[C@@H](NC(=O)OC(C)(C)C)C(=O)O","15023"
"9936","Fc1cc(c(cc1)C)c1oc(cc1)C(=O)NC(=N)N","K4389"
"9937","Fc1cc(ccc1)C[C@H](NC(=O)OC(C)(C)C)C(=O)O","14996"
"9938","Fc1cc(ccc1)C[C@@H](NC(=O)OC(C)(C)C)C(=O)O","14995"
"9939","Fc1cc(ccc1)N1[C@@H]2CN[C@H](C1)C2.Br","473405"
"9940","Fc1ccc(cc1)C(N1CCNCC1)c1ccc(cc1)F","552402"
"9941","Fc1ccc(cc1)C[C@H](NC(=O)OC(C)(C)C)C(=O)O","15352"
"9942","Fc1ccc(cc1)C[C@@H](NC(=O)OC(C)(C)C)C(=O)O","15351"
"9943","Fc1ccc(cc1)C1NC(=O)NC(=C1C(=O)OCC)C","631183"
"9944","Fc1ccc(cc1)[C@H](NC(=O)OC(C)(C)C)CC(=O)O","51006"
"9945","Fc1ccc(cc1)[C@@H](NC(=O)OC(C)(C)C)CC(=O)O","05102"
"9946","Fc1ccc(cc1)N1[C@@H]2CN[C@H](C1)C2.Br","473367"
"9947","Fc1cn(c(=O)[nH]c1=O)C(=O)NCCCCCC","C1494"
"9948","Fc1cn(c(=O)[nH]c1=O)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO","47580"
"9949","IC#CCOC(=O)NCCCC","521949"
"9950","[K+].[B-](F)(F)(F)c1ccc(cc1)C(=O)NCCOC","754471"
"9951","[Li+].N([C@@H](CC(=O)O)C(=O)O)C(=N)NCCC[C@H](N)C(=O)O","73097"
"9952","[Mg+2].N1[C@@H](CCC1=O)C(=O)[O-].N1[C@@H](CCC1=O)C(=O)[O-]","08114"
"9953","[Mn]1SC(=S)NCCNC(=S)S1","45554"
"9954","N(C(CNC(=O)OC(C)(C)C)c1ccccc1)(CC)CC","PH016176"
"9955","N(CCCCCCNC)(CCCCCCNC)C","431702"
"9956","N(CCCNC(=O)CCCCCCCCCCC)(C)C","576670"
"9957","N(CCNC(=O)c1ccc(cc1)NC(=O)CC)(CC)CC","P6523"
"9958","N(CCNC(=O)c1ccc(cc1)NC(=O)C)(CC)CC","269476"
"9959","N(CCNC(=O)OC(C)(C)C)(C)C(=O)OC(C)(C)C","723282"
"9960","N(CCNC(C)C)(CCNC(C)C)CCNC(C)C","645095"
"9961","N(C)(C)C(=O)Nc1cc(ccc1)OC(=O)NC(C)(C)C","45546"
"9962","N(C)(c1ccccc1)C(=O)NC(C)(C)c1ccccc1","51615"
"9963","N(N(CCCN)CCCCNCCCN)(N=O)O","S150"
"9964","N(N=O)(C)C(=O)N[C@H]1[C@H](O[C@@H]([C@H]([C@@H]1O)O)CO)O","85882"
"9965","N(OC)(C)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C","458465"
"9966","N(OC)(C)C(=O)[C@@H](NC(=O)OC(C)(C)C)CC(C)C","423831"
"9967","N(C(=N)NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C","496871"
"9968","N(C(CO)(CO)CO)CCCNC(CO)(CO)CO","217018"
"9969","N(C(C)(C)C)CC(O)c1cc(c(cc1)O)CO.OC(=O)C","32146"
"9970","N(C(C)(C)C)CC(O)c1cc(c(cc1)O)O.OC(=O)C","32139"
"9971","N(C(C(=O)OCC)C(=O)OCC)C(=O)OC(C)(C)C","448486"
"9972","N(C(C(C)(C)C)C)/C(=N\C#N)/Nc1ccncc1.O","P154"
"9973","N(C(C(C)C)C(=O)O)C(=O)C(N)Cc1ccccc1","P5001"
"9974","N(C(CC(=O)N)C(=O)O)C(=O)OCc1ccccc1","95945"
"9975","N(C(CC(=O)O)C(=O)O)C(=O)OCc1ccccc1","95975"
"9976","N(C(CC(C)C)C(=O)NC(C)C(=O)O)C(=O)CN","G3254"
"9977","N(C(CC(C)C)C(=O)NCC(=O)O)C(=O)C(N)C","A0759"
"9978","N(C(CC(C)C)C(=O)O)C(=O)CCC(N)C(=O)O","G7007"
"9979","N(C(CC(C)C)C(=O)O)C(=O)OCc1ccccc1","96715"
"9980","N(C(CCC(=O)O)C(=O)O)C(=O)C(N)CC(=O)O","A1916"
"9981","N(C(CCC(=O)O)C(=O)O)C(=O)C(N)CCC(=O)O","G3640"
"9982","N(C(Cc1ccc(cc1)OC)C(=O)OC)C(=O)C","A2510"
"9983","N(C(Cc1ccc(cc1)O)C(=O)N)C(=O)c1ccccc1","B6000"
"9984","N(C(Cc1ccc(cc1)O)C(=O)O)C(=O)C(N)C(C)C","V5626"
"9985","N(C(Cc1ccc(cc1)O)C(=O)O)C(=O)C(N)CO","S8258"
"9986","N(C(Cc1ccccc1)C(=O)O)C(=O)c1ccccc1","B9382"
"9987","N(C(Cc1ccccc1)C(=O)O)C(=O)OCc1ccccc1","97005"
"9988","N(C(C)C(=O)O)C(=O)C(N)Cc1ccc(cc1)O","T5129"
"9989","N(C(C)C)C(=O)OCC(COC(=O)N)(CCC)C","Y0000035"
"9990","N(C(C)C)CC(O)COc1ccc(cc1)C(O)COC","80073"
"9991","N(C(C)C)CC(O)COc1ccc(cc1)CC(=O)N","74827"
"9992","N(C(C)C)CC(O)COc1ccc(cc1)CC(=O)O","77947"
"9993","N(C(C)C)CC(O)COc1ccc(cc1)CCO","80774"
"9994","N(C(C)C)CC(O)COc1ccc(cc1)NC(=O)C","SML1462"
"9995","N(CC(=O)c1ccc(cc1)OC)C(=O)OC(C)(C)C","PH016144"
"9996","N(CC(=O)NCC(=O)O)C(=O)CNC(=O)c1ccccc1","H1763"
"9997","N(CC(=O)O)C(=O)OCC1c2c(cccc2)c2c1cccc2","47627"
"9998","N(CC(Cc1ccccc1)C(=O)O)C(=O)OC(C)(C)C","670243"
"9999","N(CC(O)COc1ccc(cc1)CCOC)CC","Y0000145"
"10000","N(CCC(c1ccccc1)c1ccccc1)CC(=O)N","D8816"
"10001","N(CCCCC(N)C(=O)O)C(=O)CCC(N)C(=O)O","G5136"
"10002","N(CCCCCC(=O)O)C(=O)OCc1ccccc1","299529"
"10003","N(CCCCCCCC(=O)O)C(=O)OC(C)(C)C","14972"
"10004","N(CCCCCCCCCCCCCCCCCC)C","M65009"
"10005","N(CCCCCCCCCCCC)C(=N)N.OC(=O)C","45466"
"10006","N(CCCCCCCCCC)CCCCCCCCCC","264970"
"10007","N(CCCCCCNC(=O)C(=C)C)C(=O)C(=C)C","729825"
"10008","N(CCCCCCO)C(=O)OCc1ccccc1","95895"
"10009","N(CCCO)C(=O)OCC1c2c(cccc2)c2c1cccc2","47305"
"10010","N(CCc1cc(c(cc1)O)O)C(=O)CCCCCCC","SML1388"
"10011","N(CCc1ccc(cc1)O)C(=O)/C=C/c1cc(c(cc1)O)O","SMB00208"
"10012","N(CCc1ccccc1)C(=O)/C=C/c1cc(c(cc1)O)O","SML1436"
"10013","N(CC[C@H](O)C(=O)O)C(=O)OCc1ccccc1","533106"
"10014","N(CCNC(=O)OC(C)(C)C)C(c1occc1)C(=O)O","659819"
"10015","N(CCO)C(=O)CCCCCCCCCCCCCCC","P0359"
"10016","N(CCO)C(=O)OCC1c2c(cccc2)c2c1cccc2","445185"
"10017","N(CC)CC.N#C/C(=C\c1ccc(cc1)O)/C(=O)O","55341"
"10018","N(Cc1c(cccc1)C(=O)O)C(=O)OC(C)(C)C","711659"
"10019","N(Cc1c(cccc1)CC(=O)O)C(=O)OC(C)(C)C","670758"
"10020","N(Cc1cc(c(cc1)O)OC)C(=O)CCCCCCCC","15971"
"10021","N(Cc1cc(ccc1)C(=O)O)C(=O)OC(C)(C)C","14971"
"10022","N(Cc1ccc(cc1)C(=O)O)C(=O)OC(C)(C)C","04060"
"10023","N(Cc1ccccc1)C(=O)/C(=C/c1cc(c(cc1)O)O)/C#N","T3434"
"10024","N(Cc1ccccc1)C(=O)CCc1ccc(cc1)O","541702"
"10025","N(Cc1nc(no1)C1CCCC1)C(=O)OC(C)(C)C","PH016255"
"10026","N(CC1OC(OC1)(C)C)C(=O)NCC1OC(OC1)(C)C","484377"
"10027","N(C[C@H](Cc1ccccc1)C(=O)O)C(=O)OC(C)(C)C","670022"
"10028","N(C[C@H](O)COc1ccc(cc1)CC(=O)N)C(C)C","330892"
"10029","N(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)CCCCCCCC","371114"
"10030","N(C[C@@H](Cc1ccccc1)C(=O)O)C(=O)OC(C)(C)C","670146"
"10031","N(C[C@@H](c1ccccc1)C(=O)O)C(=O)OC(C)(C)C","714186"
"10032","N(C[C@@H](O)COc1ccc(cc1)CC(=O)N)C(C)C","330884"
"10033","N(C)C(=O)/C(=N\OC)/c1c(cccc1)Oc1ccccc1","34230"
"10034","N([C@]12C[C@@H]3C[C@H](C1)C[C@H](C2)C3)C(=O)OC(C)(C)C","736902"
"10035","N([C@@H]1CC[C@@H](CC1)CC(=O)O)C(=O)OC(C)(C)C","74272"
"10036","N([C@@H]1[C@H](c2c(cccc2)C=C1)O)C(=O)OC(C)(C)C","713899"
"10037","N([C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O)C(=O)OC(C)(C)C","381314"
"10038","N([C@@H]1[C@H](OC([C@@H]([C@H]1O)O)O)C)C(=O)CC(O)(C)C","49746"
"10039","N([C@@H]1[C@@H](c2c(cccc2)CC1)O)C(=O)OC(C)(C)C","713996"
"10040","N([C@@H]1[C@@H]([C@H]([C@@H]([C@@](C1)(O)CO)O)O)O)C(CO)CO","50359"
"10041","N([C@@H]1OC[C@H]([C@@H]([C@H]1O)O)O)[C@@H]1OC[C@H]([C@@H]([C@H]1O)O)O","D3791"
"10042","N([C@H]1CCOC1=O)C(=O)CC(=O)CCCCCCCCC","O9139"
"10043","N([C@H]1CCOC1=O)C(=O)CC(=O)CCCCCCC","O9014"
"10044","N([C@H]1CCOC1=O)C(=O)CCCCCCCCCCC","68224"
"10045","N([C@H]1CCOC1=O)C(=O)CCCCCCCCC","07028"
"10046","N([C@H]1[C@H](c2c(cccc2)CC1)O)C(=O)OC(C)(C)C","713988"
"10047","N([C@H]1[C@H](O[C@@H]([C@H]([C@@H]1O)O)CO)OCC#C)C(=O)C","744654"
"10048","N([C@H]1[C@H](O[C@@H]([C@H]([C@@H]1O)O)CO)OCC=C)C(=O)C","766712"
"10049","N([C@H]1[C@@H](c2c(cccc2)CC1)O)C(=O)OC(C)(C)C","713953"
"10050","N([C@H]1[C@@H](c2c(cccc2)C=C1)O)C(=O)OC(C)(C)C","713880"
"10051","N([C@H]1[C@@H](OC(=C[C@@H]1O)C(=O)O)[C@H](O)[C@H](O)CO)C(=O)C","D9050"
"10052","N([C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO)Oc1ccccc1)C(=O)C","P3631"
"10053","N(C1(CCCCC1)CC(=O)O)C(=O)OC(C)(C)C","713848"
"10054","N(C1(CC=CC1)C(=O)OC(C)(C)C)C(=O)OC(C)(C)C","683000"
"10055","N(C1(COC1)C(=O)O)C(=O)OCc1ccccc1","SPC00022"
"10056","N(C1CCOC1=O)C(=O)CC(O)CCCCCCCCC","53727"
"10057","N(C1CCOC1=O)C(=O)CC(O)CCCCCCC","68873"
"10058","N(C1CCOC1=O)C(=O)CCCCCCCCCCC","17247"
"10059","N(C1CCOC1=O)C(=O)CCCCCCCCC","17248"
"10060","N([C@H](CC(=O)O)C(=O)O)C(=O)OCc1ccccc1","95965"
"10061","N([C@H](CC(=O)O)c1c(cccc1)C)C(=O)OC(C)(C)C","06731"
"10062","N([C@H](CC(=O)O)c1cc(ccc1)C#N)C(=O)OC(C)(C)C","89178"
"10063","N([C@H](CC(=O)O)c1cc(ccc1)C)C(=O)OC(C)(C)C","42722"
"10064","N([C@H](CC(=O)O)c1cc(ccc1)OC)C(=O)OC(C)(C)C","52169"
"10065","N([C@H](CC(=O)O)c1ccc(cc1)C#N)C(=O)OC(C)(C)C","12339"
"10066","N([C@H](CC(=O)O)c1ccc(cc1)C)C(=O)OC(C)(C)C","90297"
"10067","N([C@H](CC(=O)O)c1ccc(cc1)OC)C(=O)OC(C)(C)C","56999"
"10068","N([C@H](CC(=O)O)c1ccc(cc1)O)C(=O)OC(C)(C)C","89090"
"10069","N([C@H](CC(=O)O)c1ccccc1)C(=O)OC(C)(C)C","09794"
"10070","N([C@H](CC(C)C)C(=O)O)C(=O)OCc1ccccc1","96705"
"10071","N([C@H](CCC(=O)N)C(=O)O)C(=O)OCc1ccccc1","96098"
"10072","N([C@H](CCC(=O)O)C(=O)O)C(=O)c1ccccc1","462756"
"10073","N([C@H](CCC(=O)O)Cc1ccccc1)C(=O)OC(C)(C)C","06897"
"10074","N([C@H](CCCCCC(=O)O)C(=O)O)C(=O)OC(C)(C)C","672092"
"10075","N([C@H](CCCCN)C(=O)O)C(=O)OCc1ccccc1","96825"
"10076","N([C@H](CCc1ccccc1)C(=O)O)C(=O)OC(C)(C)C","15043"
"10077","N([C@H](CCc1ccccc1)CC(=O)O)C(=O)OC(C)(C)C","78018"
